Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Kwinageese,8.800000191,9.600000381,27.89999962,904.0999756,27.79999924,-6.699999809,34.5,9.199999809,7.5,20.39999962,-2.200000048,948,153,36,43.09999847,369,129,203,247,2041-2060,85
Kwinageese,3.716666698,9.866666794,29.80866051,852.4998779,20.89999962,-12.19999981,33.09999847,3.75,4.233333111,13.9333334,-7.050000191,829,119,32,39.76882935,303,112,175,239,1970-2000,NA
Sustut,5.900000095,10.69999981,27.79999924,956.9000244,25.39999962,-13,38.40000153,12.60000038,1.299999952,17.5,-6.300000191,657,82,24,33.40000153,218,85,192,148,2041-2060,26
Sustut,7.300000191,10.60000038,27.79999924,963.9000244,27.79999924,-10.39999962,38.20000076,7.900000095,2.099999905,19.39999962,-4.699999809,681,88,26,34.40000153,230,86,195,150,2041-2060,85
Sustut,2.058333397,11.08333302,29.71403122,937.1786499,20.89999962,-16.39999962,37.29999924,8.366666794,-2.266666651,13.25,-9.833333015,591,68,23,30.54963493,193,81,171,143,1970-2000,NA
Verrett,8,8.100000381,26.39999962,830.0999756,25,-5.699999809,30.70000076,8.899999619,11.89999962,18.39999962,-2.299999952,1715,289,84,43.79999924,673,258,287,478,2041-2060,26
Verrett,9.300000191,8.100000381,26.60000038,845.2000122,26.89999962,-3.5,30.39999962,9.800000191,20.29999924,20.29999924,-0.899999976,1773,305,86,44.09999847,700,271,293,483,2041-2060,85
Verrett,4.387499809,8.224999428,28.85964775,779.5835571,19.89999962,-8.600000381,28.5,-0.733333349,12.14999962,13.78333282,-5.433333397,1573,241,68,40.7600441,584,227,256,472,1970-2000,NA
Tahltan,6.5,11,28.20000076,1042.099976,27,-12,39,13.89999962,2.200000048,18.89999962,-7.099999905,395,51,8,41.5,138,42,113,104,2041-2060,26
Tahltan,7.900000095,10.89999962,28.29999924,1038.900024,29.29999924,-9.300000191,38.59999847,15.19999981,3.099999905,20.70000076,-5.300000191,407,53,9,41.5,144,43,113,106,2041-2060,85
Tahltan,2.754166603,11.4416666,29.95200729,1024.296753,22.89999962,-15.30000019,38.20000076,9.566666603,4.016666412,14.6833334,-10.55000019,353,44,8,41.05003738,121,38,98,100,1970-2000,NA
Dudidontu,4.900000095,9.899999619,26.20000076,1007.5,24.39999962,-13.5,37.90000153,12.19999981,-0.200000003,17.10000038,-7.900000095,649,85,21,34.20000076,224,90,170,161,2041-2060,26
Dudidontu,6.400000095,9.800000191,26.39999962,995.0999756,26.60000038,-10.5,37.09999847,7.699999809,0.699999988,18.89999962,-5.900000095,669,90,23,34.29999924,234,93,171,165,2041-2060,85
