"","Abernathy","Adams","Andreafsky","Big Qualicum","Big Salmon","Birkenhead","Blue","Cariboo","Cheakamus","Cowichan","Dean","Dudidontu","Duteau","Ecstall","Endako","Harrison","Hoole","Imnaha","Kaouk","Kilbella","Kildala","Kincolith","Kitlope","Kitsumkalum","Kitwanga","Klinaklini","Klondike","Kwinageese","Mayo","Morley","Moyeha","Nahatlatch","Nimpkish","Nordenskiold","Nusatsum","Okanagan","Phillips","Pitt","Portage","Raft","Salmon Fork","San Juan","Sarita","Serpentine","Seymour","Siuslaw","Slim","Spius","Sustut","Swift","Tahltan","Takhanne","Takhini","Taseko","Tincup","Tozitna","Trinity","Verrett","Yakoun"
"Dudidontu",1852991,1972537,2921806,NA,859056,1785863,2094939,1742981,1562786,1577818,1137361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duteau",1057796,119382,4616458,NA,2562880,555712,267860,480184,632324,605862,1235411,2092610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecstall",1153316,1273830,3274804,NA,1238453,1087244,1261572,998185,863629,878486,417347,745428,1393112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Endako",1321573,668594,3977997,NA,1941572,819484,611192,347805,896088,869635,935076,1448677,782112,703256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harrison",608608,329914,4167272,NA,2113664,148076,452496,541813,183129,156676,786225,1643394,449294,944075,713191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hoole",2851127,2958771,2243080,NA,521522,2772189,3082322,2751888,2549066,2564083,2139120,1374861,3079067,1753980,2456738,2629194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imnaha",684789,1623955,4935389,NA,3019971,1437392,1746535,1835894,1290507,1183878,1708573,2540646,1743355,1839063,2007280,1294064,3539591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaouk",588396,872594,3739570,NA,1758792,686047,995215,1084532,539368,432695,455030,1287253,992013,585837,1193635,542607,2275128,1272946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kilbella",820873,911299,3610132,NA,1532145,724713,1033789,1123136,501064,515917,205079,1061596,1030572,362411,970520,581385,2048556,1505426,253098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kildala",1108050,1228776,3532883,NA,1517927,1042190,1351266,1124446,818541,833394,230735,1032024,1348050,311717,829304,898862,2034263,1792599,540274,317322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
