"","Abernathy","Adams","Andreafsky","BigQualicum","BigSalmon","Birkenhead","Blue","Cariboo","Cheakamus","Cowichan","Dean","Dudidontu","Duteau","Ecstall","Endako","Harrison","Hoole","Imnaha","Kaouk","Kilbella","Kildala","Kincolith","Kitlope","Kitsumkalum","Kitwanga","Klinaklini","Klondike","Kwinageese","Mayo","Morley","Moyeha","Nahatlatch","Nimpkish","Nordenskiold","Nusatsum","Okanagan","Phillips","Pitt","Portage","Raft","SalmonFork","SanJuan","Sarita","Serpentine","Seymour","Siuslaw","Slim","Spius","Sustut","Swift","Tahltan","Takhanne","Takhini","Taseko","Tincup","Tozitna","Trinity","Verrett","Yakoun","Yeth"
"Imnaha",685826,1624248,5067258,1302031,7120881,1450709,1753125,1845119,1292890,1188431,1741437,2590192,1737223,1863224,2031638,1305831,7302206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kaouk",608725,862150,3804396,503946,5865590,688656,991011,1083052,531166,426684,461988,1308105,975122,584320,1269479,543885,6039646,1292368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kilbella",852257,883478,3651550,379021,5701187,709956,1012348,1104331,491778,488293,208181,1085288,996462,364131,1290767,565227,5873308,1535900,257673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kildala",1122792,1192420,3543981,688053,5591458,1018922,1321290,1413273,800723,797238,398132,928174,1305404,207281,1599711,874172,5762209,1806434,528268,308787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kincolith",1287087,1356396,3341739,852093,5402077,1182897,1485262,1577240,964699,961213,570243,704677,1469371,131965,1763672,1038147,5572828,1970718,692684,472715,315945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kitlope",1033433,1097141,3587678,592757,5635242,923619,1226011,1317994,705440,701955,301522,968966,1210125,248072,1504430,778890,5805993,1717075,438909,213663,134554,356780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kitsumkalum",1274839,1344147,3466257,839792,5513956,1170649,1473039,1565019,952450,948965,557999,840434,1457153,96404,1751451,1025899,5684707,1958496,680440,460470,303696,228413,344450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kitwanga",1355852,1425177,3547274,920783,5594998,1251661,1554059,1646039,1033463,1029978,639016,921447,1538173,177404,1832471,1106912,5765749,2039516,761454,541486,384710,309423,425483,81522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klinaklini",902443,799519,3912169,295035,5958403,626000,928389,1020372,407812,404333,480902,1359567,912503,636984,1206808,481272,6127684,1586088,397628,272680,581694,745767,486405,733448,814447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klondike",6053088,6207750,1656212,5664240,407914,6035328,6336278,6429035,5818883,5808915,5452982,4911532,6320439,5023287,6617399,5890097,578663,6692137,5506028,5330002,5195810,4989988,5239370,5118502,5199856,5595302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kwinageese",1479930,1549224,3535673,1044936,5596072,1375739,1678091,1770069,1157541,1154056,763094,898648,1662200,324795,1956501,1230989,5766823,2163546,885530,665545,508769,196320,549555,421186,502150,938507,5192830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
